fpr,tpr
0.0,0.0
0.00032445260210986894,0.11656294054946188
0.0003661679366668521,0.11659732489770656
0.0003893431225318427,0.1166145170718289
0.0006350000927007435,0.11719905099198845
0.0008667519513506499,0.1181790049169618
0.001418321374937427,0.1200529518962968
0.006155329365741514,0.1426262765189286
0.0064658768563323876,0.1430216965237424
0.007661716446965905,0.14615067221400818
0.008088139866881732,0.1471993948354709
0.009580621836587129,0.15166936010727916
0.019898214583680962,0.18952652752467078
0.02651241262954929,0.21149812605302065
0.03204664701410905,0.22829488017054636
0.03423438455976417,0.23199119760684936
0.034818399243561934,0.23264450022349825
0.03647310751432226,0.2350170202523811
0.03730741420546193,0.23575628373964172
0.037933144223816675,0.23601416635147682
0.04929362033483509,0.26395144930027853
0.050818547564751466,0.2679228415225389
0.06272595806218366,0.295825740123096
0.0628511040658546,0.295825740123096
0.07517103287168363,0.32369425437540833
0.07690917181155793,0.3258948526630678
0.08562304169679441,0.3456314685555135
0.0982813282162523,0.36743114534264004
0.10329180340026327,0.37645703675686826
0.10773680404916848,0.3846233194649795
0.11347034503216716,0.3934429047897397
0.11376698741123904,0.3935460578344738
0.11525483434377144,0.39566069525152153
0.11694198787474276,0.39973524051851594
0.11703468861820272,0.3997524326926383
0.1245295437269407,0.4131451363339408
0.13375790273837995,0.4293917408795516
0.136121771696609,0.4322112574356153
0.1376374288521794,0.43497919746931196
0.13879155310825592,0.43661245401093424
0.14961436490720656,0.4529965959495238
0.15260859892096335,0.4575697142660661
0.16075235923392106,0.47018877007186327
0.1661336373917719,0.47617164666643746
0.1791998071824536,0.4929168242615961
0.19044904240132005,0.5091806209813293
0.19090327604427387,0.5095760409861431
0.19273411572760812,0.5116562940549462
0.1927804660993381,0.5116562940549462
0.20856276767339674,0.5344531169411684
0.21565437454808387,0.5438744283602104
0.22158722212952148,0.5506481449644122
0.2270009455475833,0.5586081215830554
0.23052820883623487,0.5625107451088265
0.2447577729573391,0.5768834026751023
0.2689897472977733,0.6044080734449678
0.2718402951591672,0.6074854726128667
0.27597474831748153,0.6132276587697281
0.28750672080390083,0.6247807997799402
0.2982182917106995,0.6366433999243545
0.3021302630847099,0.6395144930027852
0.3114791330626472,0.6465632843929443
0.32467971893134584,0.6605061376061617
0.3364017279418581,0.6701853316370389
0.3580937019114893,0.6913660901557611
0.3609025344383262,0.6949420623732078
0.3657878636186662,0.699360451122649
0.37387600348554795,0.7049994842347763
0.3791599458627658,0.7107072860433931
0.3825991434451304,0.713492418251212
0.38297458145614327,0.7136815321665578
0.38906502030146284,0.7187188391844033
0.41564695848860705,0.7433724168758381
0.4235033464968389,0.7489426812914761
0.4547898474145763,0.7749200563903311
0.45781652668854406,0.7768283877179109
0.46021284090698406,0.7792009077467936
0.5303224131857538,0.8240380978578551
0.5373583996143649,0.8279235292095039
0.5441765392958452,0.8334078327545301
0.6047193948495467,0.8683595227452464
0.6098920963346126,0.8704913523364165
0.6103880453121234,0.8706288897293952
0.6150926080427165,0.8740845167279854
0.61905556482563,0.8760100402296874
0.6198620612937316,0.8768868411099268
0.6365435600793519,0.8864628820960698
0.6378460055249643,0.8875631812398996
0.7169985353282533,0.9233744799367328
0.7176242653466081,0.9235807860262009
0.7422270426608821,0.9362686105284874
0.7495643065057381,0.9390537427363065
0.7513766060403805,0.9393460096963862
0.7566512783432523,0.9416325688546574
0.7590244173758274,0.9431454801774233
0.7594137604983592,0.9435065158339924
0.7918265754491352,0.9533060550837259
0.8058985483063574,0.957621290788433
0.8079147894766116,0.9589107038476086
0.8080028551828986,0.9590138568923426
0.8434655245935072,0.970274730942475
0.9309472161966739,0.9903551903173675
0.9992120436805904,0.9997593095622872
1.0,1.0
